trade_num,open_day_idx,close_day_idx,signal,strength,pred_return_pct,confidence,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,is_win,cash_before,cash_after,portfolio_value_after
1,2,5,BUY,MEDIUM,0.7646,0.6824,346.18,350.1,57,223.44,59.53,163.91,True,80238.14,100163.91,100163.91
2,13,16,BUY,MEDIUM,0.5251,0.6283,345.88,348.14,57,128.82,59.34,69.48,True,80419.18,100233.39,100233.39
3,16,19,BUY,MEDIUM,0.9933,0.7297,348.14,359.23,57,632.13,60.48,571.65,True,80359.64,100805.04,100805.04
4,20,23,BUY,MEDIUM,0.4669,0.6146,361.99,344.95,55,-937.2,58.32,-995.52,False,80865.73,99809.52,99809.52
5,28,31,BUY,MEDIUM,0.4269,0.6051,344.31,353.6,57,529.53,59.67,469.86,True,80154.41,100279.38,100279.38
6,41,44,BUY,STRONG,1.2617,0.7793,353.63,347.16,56,-362.32,58.87,-421.19,False,80446.39,99858.19,99858.19
7,44,47,BUY,MEDIUM,0.5193,0.627,347.16,350.91,57,213.75,59.68,154.07,True,80040.39,100012.25,100012.25
8,50,53,BUY,MEDIUM,0.7643,0.6823,350.4,345.71,56,-262.64,58.47,-321.11,False,80360.42,99691.14,99691.14
9,53,56,BUY,MEDIUM,0.779,0.6855,345.71,339.23,57,-369.36,58.56,-427.92,False,79956.11,99263.22,99263.22
10,56,59,BUY,MEDIUM,0.4613,0.6133,339.23,347.18,58,461.1,59.72,401.38,True,79558.37,99664.6,99664.6
11,66,69,BUY,MEDIUM,0.494,0.621,381.61,376.08,52,-287.56,59.1,-346.66,False,79791.12,99317.94,99317.94
12,71,74,BUY,STRONG,1.4524,0.8104,376.79,379.08,52,119.08,58.96,60.12,True,79695.47,99378.06,99378.06
13,77,80,BUY,MEDIUM,0.8811,0.7071,381.31,385.59,52,222.56,59.82,162.74,True,79520.2,99540.8,99540.8
14,89,92,BUY,STRONG,1.0357,0.738,388.38,379.31,51,-462.57,58.73,-521.3,False,79703.71,99019.51,99019.51
15,95,98,BUY,MEDIUM,0.7709,0.6837,376.73,371.46,52,-274.04,58.36,-332.4,False,79400.16,98687.11,98687.11
16,103,106,BUY,MEDIUM,0.6744,0.6625,385.21,385.33,51,6.12,58.95,-52.83,False,79011.93,98634.28,98634.28
17,110,113,BUY,MEDIUM,0.4452,0.6095,371.37,380.46,53,481.77,59.77,422.0,True,78922.15,99056.28,99056.28
18,113,116,BUY,MEDIUM,0.505,0.6236,380.46,383.05,51,132.09,58.41,73.68,True,79623.72,99129.96,99129.96
19,116,119,BUY,STRONG,1.3027,0.7863,383.05,381.38,51,-85.17,58.48,-143.65,False,79565.11,98986.31,98986.31
20,121,124,BUY,MEDIUM,0.7058,0.6695,387.31,397.33,51,511.02,60.02,451.0,True,79203.87,99437.31,99437.31
21,127,130,BUY,MEDIUM,0.8838,0.7076,393.03,400.43,50,370.0,59.51,310.49,True,79756.33,99747.8,99747.8
22,130,133,BUY,STRONG,1.382,0.7993,400.43,416.16,49,770.77,60.02,710.75,True,80097.3,100458.55,100458.55
23,134,137,BUY,MEDIUM,0.7968,0.6893,416.56,422.12,48,266.88,60.38,206.5,True,80433.68,100665.04,100665.04
24,144,147,BUY,MEDIUM,0.7321,0.6753,432.45,424.47,46,-367.08,59.13,-426.21,False,80742.51,100238.84,100238.84
25,147,150,BUY,STRONG,1.0783,0.7462,424.47,400.65,47,-1119.54,58.17,-1177.71,False,80258.82,99061.13,99061.13
26,191,194,BUY,STRONG,1.1493,0.7594,378.77,367.64,52,-578.76,58.22,-636.98,False,79335.54,98424.15,98424.15
27,195,198,BUY,STRONG,1.0223,0.7354,365.29,375.35,53,533.18,58.88,474.3,True,79034.74,98898.45,98898.45
28,199,202,BUY,MEDIUM,0.8935,0.7096,395.38,396.37,49,48.51,58.19,-9.68,False,79495.77,98888.76,98888.76
29,204,207,BUY,MEDIUM,0.6374,0.6542,402.27,409.4,49,349.37,59.66,289.71,True,79147.96,99178.47,99178.47
30,207,210,BUY,STRONG,1.1485,0.7592,409.4,405.2,48,-201.6,58.65,-260.25,False,79497.8,98918.22,98918.22
31,211,214,BUY,MEDIUM,0.767,0.6829,413.28,360.92,47,-2460.92,54.58,-2515.5,False,79464.93,96402.72,96402.72
32,224,227,BUY,MEDIUM,0.9842,0.7279,358.72,363.57,53,257.05,57.42,199.63,True,77362.04,96602.35,96602.35
33,227,230,BUY,STRONG,1.6312,0.8363,363.57,360.16,53,-180.73,57.54,-238.27,False,77304.24,96364.08,96364.08
34,231,234,BUY,MEDIUM,0.4801,0.6178,359.8,355.31,53,-237.97,56.85,-294.82,False,77266.08,96069.26,96069.26
35,247,250,BUY,MEDIUM,0.5203,0.6272,354.74,357.69,54,159.3,57.71,101.59,True,76884.57,96170.86,96170.86
36,250,253,BUY,MEDIUM,0.5652,0.6376,357.69,359.04,53,71.55,56.98,14.57,True,77184.85,96185.43,96185.43
37,262,265,BUY,MEDIUM,0.8517,0.7009,358.88,363.81,53,261.29,57.45,203.84,True,77136.25,96389.26,96389.26
38,283,286,BUY,MEDIUM,0.7365,0.6762,350.23,346.99,54,-174.96,56.47,-231.43,False,77448.47,96157.83,96157.83
39,289,292,BUY,MEDIUM,0.7052,0.6693,341.58,308.81,56,-1835.12,54.63,-1889.75,False,77000.65,94268.07,94268.07
40,303,306,BUY,STRONG,1.4664,0.8125,281.37,287.03,66,373.56,56.27,317.29,True,75669.8,94585.36,94585.36
41,306,309,BUY,MEDIUM,0.4571,0.6123,287.03,283.14,65,-252.85,55.59,-308.44,False,75900.43,94276.92,94276.92
42,309,312,BUY,MEDIUM,0.5505,0.6342,283.14,292.31,66,605.22,56.97,548.25,True,75561.65,94825.17,94825.17
43,312,315,BUY,MEDIUM,0.6358,0.6538,292.31,277.76,64,-931.2,54.73,-985.93,False,76089.27,93839.24,93839.24
44,321,324,BUY,MEDIUM,0.685,0.6649,304.46,294.38,61,-614.88,54.79,-669.67,False,75239.33,93169.57,93169.57
45,325,328,BUY,STRONG,1.4992,0.8175,305.52,316.63,60,666.6,55.99,610.61,True,74810.87,93780.18,93780.18
46,333,336,BUY,MEDIUM,0.9933,0.7297,323.75,337.09,57,760.38,56.5,703.88,True,75298.75,94484.06,94484.06
47,336,339,BUY,STRONG,1.1226,0.7545,337.09,337.7,55,33.55,55.67,-22.12,False,75916.3,94461.93,94461.93
48,342,345,BUY,MEDIUM,0.6474,0.6564,340.33,357.33,55,935.0,57.56,877.44,True,75715.71,95339.38,95339.38
49,348,351,BUY,MEDIUM,0.4797,0.6177,354.3,355.26,53,50.88,56.41,-5.53,False,76533.31,95333.85,95333.85
50,351,354,BUY,STRONG,1.4435,0.809,355.26,351.1,53,-220.48,56.16,-276.64,False,76476.82,95057.21,95057.21
51,355,358,BUY,MEDIUM,0.7613,0.6816,349.79,342.6,54,-388.26,56.08,-444.34,False,76140.22,94612.87,94612.87
52,363,366,BUY,STRONG,1.0918,0.7487,324.96,325.86,58,52.2,56.62,-4.42,False,75736.92,94608.45,94608.45
53,378,381,BUY,STRONG,1.53,0.822,334.55,340.11,56,311.36,56.67,254.69,True,75845.55,94863.14,94863.14
54,381,384,BUY,MEDIUM,0.6914,0.6663,340.11,344.93,55,265.1,56.52,208.58,True,76129.03,95071.72,95071.72
55,385,388,BUY,MEDIUM,0.7065,0.6696,347.75,351.12,54,181.98,56.61,125.37,True,76265.05,95197.09,95197.09
56,394,397,BUY,STRONG,1.0549,0.7417,357.95,323.03,53,-1850.76,54.14,-1904.9,False,76197.28,93292.19,93292.19
57,398,401,BUY,MEDIUM,0.4487,0.6103,330.02,324.34,56,-318.08,54.97,-373.05,False,74783.35,92919.15,92919.15
58,414,417,BUY,STRONG,1.27,0.7807,346.15,348.55,53,127.2,55.23,71.97,True,74545.68,92991.12,92991.12
59,431,434,BUY,MEDIUM,0.431,0.6061,351.23,356.92,52,295.88,55.24,240.64,True,74699.76,93231.76,93231.76
60,446,449,BUY,MEDIUM,0.4306,0.606,359.49,358.29,51,-61.2,54.91,-116.11,False,74870.27,93115.65,93115.65
61,453,456,BUY,MEDIUM,0.8962,0.7102,352.85,343.83,52,-469.04,54.34,-523.38,False,74739.93,92592.27,92592.27
62,461,464,BUY,MEDIUM,0.6793,0.6636,300.68,293.7,61,-425.78,54.39,-480.17,False,74223.28,92112.11,92112.11
63,469,472,BUY,MEDIUM,0.5591,0.6363,309.0,304.7,59,-253.7,54.31,-308.01,False,73853.76,91804.09,91804.09
